=== H_TABLE_BEGIN ===
f_actual,H_mag,H_phase_deg,res,settled
31645.57,1.04042,11.118,12,1
31779.66,1.04125,11.110,12,1
32051.28,1.04163,10.978,12,1
32188.84,1.04180,10.928,12,1
32467.53,1.04208,10.811,12,1
32608.70,1.04207,10.766,12,1
32751.09,1.04216,10.688,12,1
33039.65,1.04270,10.577,12,1
33185.84,1.04279,10.504,12,1
33333.33,1.04297,10.454,12,1
33632.29,1.04311,10.336,12,1
33783.79,1.04338,10.284,12,1
33936.65,1.04203,10.186,12,1
34246.57,1.04378,10.086,12,1
34403.67,1.04416,10.037,12,1
34562.21,1.04404,9.963,12,1
34722.22,1.04413,9.911,12,1
35046.73,1.04455,9.783,12,1
35211.27,1.04422,9.754,12,1
35377.36,1.04815,9.399,12,1
35545.02,1.04469,9.643,12,1
35885.17,1.04461,9.483,12,1
36057.69,1.04512,9.394,12,1
36231.88,1.04530,9.376,12,1
36407.77,1.04531,9.300,12,1
36585.37,1.04363,9.153,12,1
36764.71,1.04546,9.211,12,1
36945.81,1.04426,9.082,12,1
37128.71,1.04574,9.047,12,1
37313.43,1.04573,8.986,12,1
37582.21,1.04589,8.905,12,1
37765.54,1.04579,8.832,12,1
37950.66,1.04607,8.779,12,1
38137.61,1.04617,8.719,12,1
38326.41,1.04642,8.677,12,1
38517.09,1.04639,8.605,12,1
38834.95,1.04651,8.499,12,1
39024.39,1.04672,8.440,12,1
39215.69,1.04513,8.364,12,1
39408.87,1.04678,8.326,12,1
39603.96,1.04783,8.331,12,1
39801.00,1.04680,8.188,12,1
40000.00,1.04544,8.121,12,1
40174.09,1.04697,8.095,12,1
40370.06,1.04595,7.998,12,1
40567.95,1.04693,7.985,12,1
40767.79,1.04693,7.922,12,1
40969.61,1.04716,7.848,12,1
41173.45,1.04709,7.815,12,1
41407.87,1.04720,7.750,12,1
41608.88,1.04724,7.691,12,1
41811.85,1.04749,7.626,12,1
42016.81,1.04724,7.582,12,1
42223.79,1.04689,7.495,12,1
42432.81,1.04903,7.459,12,1
42643.93,1.04754,7.407,12,1
42857.14,1.04781,7.358,12,1
42941.49,1.04757,7.335,12,1
43149.95,1.04759,7.288,12,1
43360.43,1.04736,7.231,12,1
43572.99,1.04761,7.173,12,1
43787.63,1.04754,7.119,12,1
44004.40,1.04744,7.056,12,1
44223.33,1.04743,6.998,12,1
44444.45,1.04615,6.916,12,1
44593.09,1.04762,6.907,12,1
44809.56,1.04745,6.865,12,1
45028.14,1.04765,6.808,12,1
45248.87,1.04781,6.761,12,1
45471.77,1.04763,6.707,12,1
45696.88,1.04789,6.663,12,1
45924.23,1.04593,6.560,12,1
46153.84,1.04772,6.547,12,1
46376.81,1.04757,6.497,12,1
46601.94,1.04766,6.450,12,1
46829.27,1.04759,6.387,12,1
47058.82,1.04607,6.306,12,1
47290.64,1.04598,6.248,12,1
47524.75,1.04739,6.259,12,1
47761.20,1.04755,6.176,12,1
48000.00,1.04761,6.135,12,1
48309.18,1.04720,6.079,12,1
48543.69,1.04748,6.036,12,1
48780.49,1.04714,5.960,12,1
49019.61,1.04727,5.935,12,1
49261.09,1.04707,5.884,12,1
49504.95,1.04741,5.833,12,1
49751.25,1.04772,5.796,12,1
50000.00,1.04726,5.735,12,1
56298.38,1.04560,4.587,12,1
65040.65,1.04212,3.370,12,1
75000.00,1.03868,2.077,12,1
86673.90,1.03377,1.373,12,1
115384.62,1.02387,-0.101,12,1
153747.59,1.01567,-1.313,12,1
205128.20,1.00972,-2.423,12,1
273972.59,1.01100,-3.592,12,1
364963.50,1.01438,-6.428,12,1
487012.97,0.92912,-15.445,12,0
649350.69,0.84313,-62.969,12,0
744416.88,0.78060,-73.695,12,0
746268.69,0.71225,-71.303,12,0
867052.00,0.64538,-91.525,12,0
=== H_TABLE_END ===
=== SWEEP_DONE points=347 ===
